age,workclass,occupation,race,sex,education,native-country,marital-status,income
20,State-gov,Adm-clerical,White,Male,Bachelors,United-States,Never-married,<=50K
55,Self-emp-not-inc,Exec-managerial,White,Male,Bachelors,United-States,Married-civ-spouse,<=50K
33,Private,Handlers-cleaners,White,Male,HS-grad,United-States,Divorced,<=50K
56,Private,Handlers-cleaners,Black,Male,11th,United-States,Married-civ-spouse,<=50K
31,Private,Prof-specialty,Black,Female,Bachelors,Cuba,Married-civ-spouse,<=50K
44,Private,Exec-managerial,White,Female,Masters,United-States,Married-civ-spouse,<=50K
43,Private,Other-service,Black,Female,9th,Jamaica,Married-spouse-absent,<=50K
42,Self-emp-not-inc,Exec-managerial,White,Male,HS-grad,United-States,Married-civ-spouse,>50K
52,Private,Prof-specialty,White,Female,Masters,United-States,Never-married,>50K
57,Private,Exec-managerial,White,Male,Bachelors,United-States,Married-civ-spouse,>50K
26,Private,Exec-managerial,Black,Male,Some-college,United-States,Married-civ-spouse,>50K
36,State-gov,Prof-specialty,Asian-Pac-Islander,Male,Bachelors,India,Married-civ-spouse,>50K
17,Private,Adm-clerical,White,Female,Bachelors,United-States,Never-married,<=50K
31,Private,Sales,Black,Male,Assoc-acdm,United-States,Never-married,<=50K
25,Private,Transport-moving,Amer-Indian-Eskimo,Male,7th-8th,Mexico,Married-civ-spouse,<=50K
85,Self-emp-not-inc,Farming-fishing,White,Male,HS-grad,United-States,Never-married,<=50K
43,Private,Machine-op-inspct,White,Male,HS-grad,United-States,Never-married,<=50K
37,Private,Sales,White,Male,11th,United-States,Married-civ-spouse,<=50K
37,Self-emp-not-inc,Exec-managerial,White,Female,Masters,United-States,Divorced,>50K
36,Private,Prof-specialty,White,Male,Doctorate,United-States,Married-civ-spouse,>50K
55,Private,Other-service,Black,Female,HS-grad,United-States,Separated,<=50K
45,Federal-gov,Farming-fishing,Black,Male,9th,United-States,Married-civ-spouse,<=50K
39,Private,Transport-moving,White,Male,11th,United-States,Married-civ-spouse,<=50K
74,Private,Tech-support,White,Female,HS-grad,United-States,Divorced,<=50K
45,Local-gov,Tech-support,White,Male,Bachelors,United-States,Married-civ-spouse,>50K
17,Private,Craft-repair,White,Male,HS-grad,United-States,Never-married,<=50K
47,Private,Exec-managerial,White,Male,HS-grad,United-States,Divorced,<=50K
47,Private,Craft-repair,White,Male,HS-grad,United-States,Married-civ-spouse,<=50K
20,Local-gov,Protective-serv,White,Male,Assoc-acdm,United-States,Never-married,<=50K
24,Private,Sales,Black,Male,Some-college,United-States,Never-married,<=50K
41,Private,Exec-managerial,White,Male,Bachelors,United-States,Divorced,<=50K
32,Federal-gov,Adm-clerical,White,Male,Some-college,United-States,Married-civ-spouse,<=50K
21,State-gov,Other-service,Black,Male,Some-college,United-States,Married-civ-spouse,<=50K
58,Private,Machine-op-inspct,White,Male,11th,Puerto-Rico,Never-married,<=50K
17,Private,Machine-op-inspct,White,Male,Some-college,United-States,Never-married,<=50K
17,Private,Adm-clerical,White,Female,HS-grad,United-States,Married-AF-spouse,<=50K
48,Self-emp-not-inc,Prof-specialty,White,Male,Assoc-acdm,United-States,Married-civ-spouse,<=50K
33,Private,Machine-op-inspct,White,Male,9th,United-States,Married-civ-spouse,<=50K
56,Self-emp-not-inc,Prof-specialty,White,Male,Bachelors,United-States,Married-civ-spouse,<=50K
46,Private,Tech-support,White,Male,Bachelors,United-States,Married-civ-spouse,<=50K
54,Private,Adm-clerical,White,Female,HS-grad,United-States,Separated,<=50K
34,Private,Handlers-cleaners,White,Male,HS-grad,United-States,Never-married,<=50K
57,Federal-gov,Prof-specialty,Black,Male,Bachelors,United-States,Married-civ-spouse,>50K
53,Private,Machine-op-inspct,White,Male,HS-grad,United-States,Married-civ-spouse,<=50K
38,Private,Exec-managerial,White,Female,Masters,United-States,Divorced,<=50K
24,State-gov,Craft-repair,White,Male,Assoc-voc,United-States,Married-civ-spouse,<=50K
42,Private,Prof-specialty,White,Male,Assoc-voc,United-States,Never-married,<=50K
32,Private,Exec-managerial,Other,Female,Some-college,United-States,Married-civ-spouse,<=50K
53,Private,Prof-specialty,White,Female,Prof-school,Honduras,Married-civ-spouse,>50K
50,Federal-gov,Exec-managerial,White,Male,Bachelors,United-States,Divorced,>50K
45,Self-emp-inc,Exec-managerial,White,Male,HS-grad,United-States,Divorced,<=50K
48,Private,Tech-support,White,Male,Some-college,United-States,Married-civ-spouse,>50K
41,Private,Machine-op-inspct,White,Male,5th-6th,Mexico,Married-civ-spouse,<=50K
28,Private,Other-service,White,Male,Assoc-voc,Puerto-Rico,Married-civ-spouse,<=50K
46,Private,Adm-clerical,White,Male,HS-grad,United-States,Married-civ-spouse,<=50K
32,Private,Machine-op-inspct,White,Male,HS-grad,United-States,Married-civ-spouse,<=50K
25,Private,Sales,White,Male,Bachelors,United-States,Married-civ-spouse,<=50K
45,Private,Transport-moving,White,Male,HS-grad,United-States,Married-civ-spouse,<=50K
53,Private,Prof-specialty,White,Male,Doctorate,United-States,Married-civ-spouse,>50K
36,Private,Tech-support,White,Male,Some-college,United-States,Divorced,<=50K
36,Private,Craft-repair,White,Male,HS-grad,United-States,Married-civ-spouse,<=50K
29,Private,Adm-clerical,White,Female,Some-college,United-States,Divorced,<=50K
52,Private,Adm-clerical,White,Female,HS-grad,United-States,Married-civ-spouse,>50K
46,Self-emp-inc,Exec-managerial,White,Male,Some-college,United-States,Married-civ-spouse,>50K
17,Private,Prof-specialty,White,Male,Some-college,United-States,Never-married,<=50K
32,Private,Sales,Black,Female,Bachelors,United-States,Separated,<=50K
25,Self-emp-not-inc,Sales,White,Male,Bachelors,United-States,Married-civ-spouse,>50K
17,Private,Machine-op-inspct,White,Male,Some-college,United-States,Never-married,<=50K
73,Private,Prof-specialty,White,Male,Some-college,United-States,Married-civ-spouse,<=50K
37,Private,Other-service,White,Male,HS-grad,Mexico,Never-married,<=50K
46,Private,Adm-clerical,White,Male,Assoc-acdm,United-States,Married-civ-spouse,<=50K
17,Private,Other-service,White,Female,11th,United-States,Never-married,<=50K
41,Local-gov,Farming-fishing,White,Male,7th-8th,United-States,Married-civ-spouse,<=50K
20,Private,Sales,White,Male,HS-grad,United-States,Never-married,<=50K
48,Private,Other-service,White,Male,Bachelors,Cuba,Married-civ-spouse,<=50K
46,Private,Other-service,White,Female,HS-grad,United-States,Married-civ-spouse,<=50K
58,Private,Sales,White,Male,HS-grad,United-States,Married-civ-spouse,<=50K
43,Private,Craft-repair,White,Female,HS-grad,United-States,Divorced,>50K
49,Private,Sales,White,Female,HS-grad,United-States,Divorced,<=50K
43,Local-gov,Protective-serv,White,Male,HS-grad,United-States,Married-civ-spouse,>50K
26,Private,Prof-specialty,White,Male,Masters,United-States,Married-civ-spouse,<=50K
28,Private,Sales,White,Male,9th,United-States,Never-married,<=50K
23,Federal-gov,Prof-specialty,White,Female,Doctorate,United-States,Never-married,>50K
57,Private,Prof-specialty,White,Male,Assoc-voc,United-States,Married-civ-spouse,<=50K
40,Private,Craft-repair,White,Female,Some-college,United-States,Divorced,<=50K
34,Private,Machine-op-inspct,Black,Female,Some-college,United-States,Divorced,<=50K
25,Local-gov,Protective-serv,White,Male,Bachelors,United-States,Married-civ-spouse,>50K
26,Local-gov,Handlers-cleaners,White,Male,Some-college,United-States,Never-married,<=50K
58,Self-emp-not-inc,Prof-specialty,White,Male,Doctorate,United-States,Married-civ-spouse,>50K
30,Private,Sales,White,Male,Some-college,United-States,Married-civ-spouse,>50K
46,Private,Exec-managerial,White,Female,Assoc-acdm,England,Divorced,<=50K
36,Federal-gov,Other-service,Black,Male,HS-grad,United-States,Never-married,<=50K
75,Private,Exec-managerial,White,Male,Masters,United-States,Married-civ-spouse,>50K
31,Private,Exec-managerial,White,Male,Bachelors,United-States,Married-civ-spouse,>50K
50,Self-emp-not-inc,Prof-specialty,White,Female,Masters,United-States,Never-married,<=50K
17,Private,Tech-support,White,Female,Some-college,United-States,Never-married,<=50K
29,Private,Craft-repair,White,Male,HS-grad,United-States,Never-married,<=50K
30,Self-emp-inc,Craft-repair,White,Male,HS-grad,United-States,Married-civ-spouse,>50K
17,Private,Handlers-cleaners,White,Male,11th,United-States,Never-married,<=50K
27,Local-gov,Adm-clerical,White,Female,HS-grad,United-States,Never-married,<=50K
39,Private,Handlers-cleaners,White,Male,HS-grad,United-States,Married-civ-spouse,<=50K
22,Private,Sales,White,Male,Bachelors,United-States,Never-married,<=50K
44,Private,Prof-specialty,White,Male,Prof-school,United-States,Married-civ-spouse,>50K
