age,workclass,occupation,race,sex,education,native-country,marital-status,income
17,State-gov,Exec-managerial,White,Male,Masters,Nicaragua,Married-civ-spouse,<=50K
43,Self-emp-inc,Sales,Asian-Pac-Islander,Male,1st-4th,Ecuador,Separated,<=50K
90,Self-emp-inc,Armed-Forces,Amer-Indian-Eskimo,Male,Bachelors,Nicaragua,Married-civ-spouse,>50K
53,Self-emp-inc,Exec-managerial,Black,Female,11th,Yugoslavia,Married-AF-spouse,<=50K
90,Self-emp-inc,Machine-op-inspct,Black,Female,5th-6th,United-States,Married-AF-spouse,<=50K
17,Self-emp-inc,Exec-managerial,Other,Female,5th-6th,India,Never-married,>50K
81,Federal-gov,Handlers-cleaners,White,Female,Doctorate,Ireland,Divorced,>50K
17,Self-emp-not-inc,Adm-clerical,Black,Female,9th,Italy,Never-married,<=50K
90,Without-pay,Prof-specialty,White,Male,12th,Ireland,Never-married,<=50K
90,Without-pay,Machine-op-inspct,White,Female,Some-college,Philippines,Widowed,>50K
90,Private,Adm-clerical,Other,Male,5th-6th,Columbia,Married-civ-spouse,>50K
90,State-gov,Craft-repair,Black,Male,1st-4th,Italy,Widowed,>50K
44,Without-pay,Farming-fishing,Asian-Pac-Islander,Female,Assoc-acdm,Italy,Married-spouse-absent,<=50K
31,Self-emp-inc,Protective-serv,Asian-Pac-Islander,Female,11th,Canada,Married-spouse-absent,<=50K
90,Private,Priv-house-serv,Amer-Indian-Eskimo,Male,7th-8th,Laos,Married-AF-spouse,>50K
17,State-gov,Other-service,White,Male,7th-8th,Cuba,Married-AF-spouse,>50K
17,State-gov,Protective-serv,Black,Female,9th,Peru,Never-married,>50K
70,Local-gov,Priv-house-serv,Amer-Indian-Eskimo,Male,11th,Yugoslavia,Married-spouse-absent,>50K
90,Self-emp-not-inc,Armed-Forces,White,Female,10th,Scotland,Married-spouse-absent,>50K
74,Self-emp-not-inc,Machine-op-inspct,White,Male,Masters,Trinadad&Tobago,Married-AF-spouse,>50K
17,Self-emp-not-inc,Transport-moving,Asian-Pac-Islander,Male,10th,Peru,Separated,<=50K
17,Federal-gov,Machine-op-inspct,Asian-Pac-Islander,Male,7th-8th,Ecuador,Married-civ-spouse,<=50K
17,Private,Handlers-cleaners,Other,Male,Assoc-acdm,Greece,Divorced,<=50K
80,Private,Handlers-cleaners,Black,Male,10th,Cambodia,Separated,>50K
70,State-gov,Priv-house-serv,White,Male,HS-grad,Philippines,Married-AF-spouse,>50K
17,State-gov,Other-service,Other,Male,Doctorate,Italy,Never-married,>50K
17,Private,Transport-moving,White,Male,Preschool,Peru,Divorced,<=50K
17,Self-emp-not-inc,Craft-repair,Amer-Indian-Eskimo,Male,HS-grad,India,Never-married,<=50K
17,Self-emp-not-inc,Protective-serv,Amer-Indian-Eskimo,Male,Doctorate,Scotland,Divorced,<=50K
90,Federal-gov,Handlers-cleaners,White,Female,9th,Japan,Never-married,<=50K
80,Self-emp-inc,Adm-clerical,White,Male,Doctorate,Philippines,Married-AF-spouse,<=50K
90,Private,Farming-fishing,Asian-Pac-Islander,Male,Assoc-acdm,Trinadad&Tobago,Separated,>50K
17,State-gov,Machine-op-inspct,Other,Male,12th,Hong,Married-AF-spouse,<=50K
17,Federal-gov,Machine-op-inspct,White,Male,Preschool,Honduras,Never-married,<=50K
72,Without-pay,Prof-specialty,Asian-Pac-Islander,Male,HS-grad,Guatemala,Married-spouse-absent,<=50K
17,Self-emp-not-inc,Priv-house-serv,Other,Female,5th-6th,Jamaica,Married-AF-spouse,<=50K
79,Self-emp-not-inc,Machine-op-inspct,Black,Male,Prof-school,Greece,Married-AF-spouse,<=50K
52,State-gov,Protective-serv,White,Male,Bachelors,United-States,Married-civ-spouse,<=50K
90,Self-emp-not-inc,Tech-support,White,Female,Some-college,Greece,Married-civ-spouse,<=50K
24,Private,Machine-op-inspct,White,Female,Doctorate,United-States,Never-married,<=50K
46,Local-gov,Handlers-cleaners,Black,Female,HS-grad,Outlying-US(Guam-USVI-etc),Widowed,<=50K
90,Federal-gov,Other-service,Black,Female,1st-4th,Hungary,Never-married,<=50K
24,Federal-gov,Protective-serv,Black,Male,Doctorate,Greece,Widowed,>50K
90,Private,Adm-clerical,White,Male,Bachelors,Honduras,Married-civ-spouse,<=50K
62,Private,Sales,White,Male,Masters,Scotland,Separated,<=50K
17,Local-gov,Handlers-cleaners,Amer-Indian-Eskimo,Female,7th-8th,India,Never-married,<=50K
25,Without-pay,Adm-clerical,Black,Female,Assoc-voc,Mexico,Married-AF-spouse,<=50K
17,Self-emp-not-inc,Exec-managerial,Other,Female,Doctorate,Canada,Never-married,<=50K
75,Federal-gov,Sales,White,Female,7th-8th,Greece,Never-married,>50K
90,Self-emp-inc,Priv-house-serv,Other,Female,9th,Trinadad&Tobago,Never-married,>50K
49,Self-emp-not-inc,Prof-specialty,Black,Male,HS-grad,Puerto-Rico,Never-married,<=50K
17,Private,Tech-support,White,Female,9th,Germany,Married-civ-spouse,<=50K
51,Self-emp-inc,Machine-op-inspct,White,Female,7th-8th,Holand-Netherlands,Married-civ-spouse,<=50K
17,Self-emp-not-inc,Exec-managerial,White,Female,Assoc-voc,Italy,Married-AF-spouse,<=50K
37,Federal-gov,Priv-house-serv,White,Male,5th-6th,Holand-Netherlands,Married-civ-spouse,>50K
